node_id,id,timestamp,CPUUsageMax,CPUUsageMin,CPUUsageAVG,MemoryUsageMax,MemoryUsageMin,MemoryUsageAVG,TailLatencyMax,TailLatencyMin,TailLatencyAVG,DiskFreeMax,DiskFreeMin,DiskFreeAVG,SwapMemory_max,SwapMemory_min,SwapMemory_avg,DiskIOCounterBusyTimeMax,DiskIOCounterBusyTimeMin,DiskIOCounterBusyTimeAVG,NetIOCounterDropinMax,NetIOCounterDropinMin,NetIOCounterDropinAVG,NetIOCounterDropoutMax,NetIOCounterDropoutMin,NetIOCounterDropoutAVG
3,54851d76-6d5f-11f1-bec8-ab78691633b0,2026-06-21T10:52:43.252000,100.0,99.8,99.98181818181818,22.755984756590237,22.749541286280316,22.753055906449365,32.0,26.0,29.0,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1751307.0,1751263.0,1751279.3636363635,0.0,0.0,0.0,5.0,5.0,5.0
3,4dad1ecc-6d5f-11f1-ab71-6711044c6386,2026-06-21T10:52:31.770000,100.0,100.0,100.0,22.749541286280316,22.743097815970398,22.74424146221588,32.0,26.0,28.636363636363637,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1751251.0,1751195.0,1751224.0909090908,0.0,0.0,0.0,5.0,5.0,5.0
3,46d7defc-6d5f-11f1-ae8d-978619245520,2026-06-21T10:52:20.306000,100.0,100.0,100.0,22.762530504206666,22.749643563586826,22.756087033896744,32.0,26.0,28.818181818181817,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1751195.0,1751131.0,1751156.0909090908,0.0,0.0,0.0,5.0,5.0,5.0
3,3ffd86b8-6d5f-11f1-9f95-cb82f35eac55,2026-06-21T10:52:08.809000,100.0,100.0,100.0,22.749643563586826,22.7432000932769,22.746128943417776,30.0,26.0,27.0,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1751117.0,1751033.0,1751078.6363636365,0.0,0.0,0.0,5.0,5.0,5.0
3,39235e80-6d5f-11f1-9271-45d5513197fa,2026-06-21T10:51:57.313000,100.0,100.0,100.0,22.7432000932769,22.73031315265706,22.735027206693324,39.0,27.0,30.636363636363637,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1751033.0,1750971.0,1751011.9090909092,0.0,0.0,0.0,5.0,5.0,5.0
3,324b2552-6d5f-11f1-ab5e-9bf1d8bd1c72,2026-06-21T10:51:45.830000,100.0,99.8,99.98181818181818,22.72397195965365,22.717528489343728,22.721043109512777,44.0,27.0,29.272727272727273,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1750971.0,1750915.0,1750946.2727272727,0.0,0.0,0.0,5.0,5.0,5.0
3,2b79f154-6d5f-11f1-a5ed-72dcbdce000b,2026-06-21T10:51:34.392000,100.0,100.0,100.0,22.717528489343728,22.711085019033806,22.71601292562004,32.0,26.0,28.454545454545453,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1750905.0,1750860.0,1750880.3636363635,0.0,0.0,0.0,5.0,5.0,5.0
3,24a85bf4-6d5f-11f1-a8de-da3dd90db84f,2026-06-21T10:51:22.953000,100.0,100.0,100.0,22.717630766650235,22.711187296340313,22.713186352785673,33.0,26.0,28.363636363636363,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1750450.0,1750218.0,1750268.9090909092,0.0,0.0,0.0,5.0,5.0,5.0
3,1dca4194-6d5f-11f1-b2dc-ceb72e0b5e0c,2026-06-21T10:51:11.431000,100.0,100.0,100.0,22.721312749684476,22.713846506309487,22.71854196447184,28.0,26.0,27.181818181818183,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1750218.0,1750162.0,1750187.6363636365,0.0,0.0,0.0,5.0,5.0,5.0
3,16f93366-6d5f-11f1-b2ff-e2ef8f8cd7d9,2026-06-21T10:50:59.994000,100.0,100.0,100.0,22.721312749684476,22.714869279374554,22.718281622237097,67.0,26.0,33.09090909090909,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1750156.0,1750084.0,1750111.4545454546,0.0,0.0,0.0,5.0,5.0,5.0
3,101c6068-6d5f-11f1-8ea3-bd23ace95390,2026-06-21T10:50:48.481000,100.0,99.8,99.98181818181818,22.721312749684476,22.714869279374554,22.71662658945908,35.0,27.0,29.545454545454547,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1750074.0,1750022.0,1750053.0909090908,0.0,0.0,0.0,5.0,5.0,5.0
3,09494f12-6d5f-11f1-8528-702359f9c57d,2026-06-21T10:50:37.031000,100.0,100.0,100.0,23.113955329363613,22.7079144225321,22.819861583472136,69.0,26.0,32.09090909090909,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1750022.0,1749291.0,1749602.4545454546,0.0,0.0,0.0,5.0,5.0,5.0
3,026dce2a-6d5f-11f1-a601-1cb15c4ff0d0,2026-06-21T10:50:25.526000,100.0,100.0,100.0,23.10751185905369,23.094727195740354,23.098808990063667,36.0,27.0,28.727272727272727,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1749291.0,1749231.0,1749258.8181818181,0.0,0.0,0.0,5.0,5.0,5.0
3,fb9ad2aa-6d5e-11f1-a32c-4c31ebe13091,2026-06-21T10:50:14.077000,100.0,100.0,100.0,23.094727195740354,23.075601339423606,23.08665658646328,36.0,27.0,29.818181818181817,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1749223.0,1749172.0,1749196.0909090908,0.0,0.0,0.0,5.0,5.0,5.0
3,f4c37eaa-6d5e-11f1-9752-34fa47f62a72,2026-06-21T10:50:02.600000,100.0,100.0,100.0,23.06987381025923,23.06987381025923,23.06987381025923,38.0,27.0,31.454545454545453,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1749154.0,1749086.0,1749125.4545454546,0.0,0.0,0.0,5.0,5.0,5.0
3,edebf49a-6d5e-11f1-b0ca-c3b2f9c63287,2026-06-21T10:49:51.121000,100.0,100.0,100.0,23.082863028185578,23.063430339949313,23.073537197419565,46.0,27.0,29.363636363636363,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1749086.0,1749012.0,1749045.4545454546,0.0,0.0,0.0,5.0,5.0,5.0
3,e7126eba-6d5e-11f1-9156-e3921a44f4a2,2026-06-21T10:49:39.629000,100.0,100.0,100.0,23.082863028185578,23.07641955787566,23.081691488129227,42.0,27.0,30.09090909090909,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1749012.0,1748958.0,1748976.7272727273,0.0,0.0,0.0,5.0,5.0,5.0
3,e03f7128-6d5e-11f1-9cb1-57f4c43378ae,2026-06-21T10:49:28.180000,100.0,99.8,99.98181818181818,23.108534632118758,23.044304483632562,23.08334652090725,34.0,27.0,29.545454545454547,10617.0,10617.0,10617.0,3360.0,3360.0,3360.0,1748924.0,1748816.0,1748895.8181818181,0.0,0.0,0.0,5.0,5.0,5.0
3,d965d568-6d5e-11f1-8ceb-26c997ccb55e,2026-06-21T10:49:16.687000,100.0,100.0,100.0,23.10505720369753,22.374285848707316,22.838029752282505,41.0,27.0,30.454545454545453,10617.0,10599.0,10610.454545454546,3360.0,3360.0,3360.0,1748816.0,1748660.0,1748753.4545454546,0.0,0.0,0.0,5.0,5.0,5.0
3,d28f9a3a-6d5e-11f1-ae27-5ac73bbcc92f,2026-06-21T10:49:05.217000,100.0,100.0,100.0,22.575363033299446,22.411719342888762,22.53565154456399,31.0,26.0,28.181818181818183,10599.0,10599.0,10599.0,3360.0,3360.0,3360.0,1748660.0,1748592.0,1748618.3636363635,0.0,0.0,0.0,5.0,5.0,5.0
3,cbb723ea-6d5e-11f1-ac18-4784bf70884e,2026-06-21T10:48:53.732000,100.0,100.0,100.0,22.54969142936627,22.549589152059763,22.549644939681492,34.0,27.0,29.727272727272727,10599.0,10599.0,10599.0,3360.0,3360.0,3360.0,1748588.0,1748403.0,1748532.6363636365,0.0,0.0,0.0,5.0,5.0,5.0
3,c4e042b8-6d5e-11f1-9119-1de6b99b4606,2026-06-21T10:48:42.258000,100.0,100.0,100.0,22.549793706672776,22.536906766052937,22.546846260657993,46.0,27.0,30.90909090909091,10599.0,10599.0,10599.0,3360.0,3360.0,3360.0,1748373.0,1748215.0,1748266.6363636365,0.0,0.0,0.0,5.0,5.0,5.0
3,be0b8ba0-6d5e-11f1-8e70-84ad0ea9ee51,2026-06-21T10:48:30.797000,100.0,100.0,100.0,22.440254711404123,22.408241914467535,22.413532440595016,35.0,27.0,28.727272727272727,10599.0,10599.0,10599.0,3360.0,3360.0,3360.0,1748215.0,1748161.0,1748183.9090909092,0.0,0.0,0.0,5.0,5.0,5.0
3,b73b2bb4-6d5e-11f1-b479-9f608ed81d11,2026-06-21T10:48:19.365000,100.0,100.0,100.0,22.40834419177404,22.201437200711034,22.315467099529023,51.0,26.0,32.09090909090909,10599.0,10599.0,10599.0,3360.0,3360.0,3360.0,1748161.0,1747624.0,1747917.4545454546,0.0,0.0,0.0,5.0,5.0,5.0
