scenario,strategy,weight_method,n_seeds,success_mean_pct,success_std_pct,urgent_mean_pct,urgent_std_pct,normal_mean_pct,normal_std_pct,fairness_mean,fairness_std,cap_util_mean_pct,cap_util_std_pct,filter_ms_mean,rank_ms_mean,allocate_ms_mean,total_ms_mean,total_ms_std,rejected_hard_mean,waitlist_mean
KB5,TOPSIS,EWM,30,64.538667,0.135436,94.945667,0.817971,59.121213,0.295787,0.948692,0.002269,99.596708,0.209007,0.392300,3.181300,0.248633,3.822233,0.750703,247.933333,1525.133333
KB5,Hybrid,EWM,30,64.793333,0.016884,94.945667,0.817971,59.420954,0.309046,0.949688,0.002366,99.989712,0.026055,0.548233,3.365167,67.906300,71.819700,4.702045,247.933333,6264.466667
KB5,TOPSIS,AHP,30,64.538667,0.135436,94.945667,0.817971,59.121213,0.295787,0.948692,0.002269,99.596708,0.209007,0.341267,2.844233,0.234767,3.420267,0.885032,247.933333,1525.133333
KB5,Hybrid,AHP,30,64.793333,0.020567,94.945667,0.817971,59.420949,0.310590,0.949688,0.002371,99.989712,0.031739,0.476567,3.063133,68.136100,71.675800,8.729897,247.933333,6264.466667
KB6,FIFO,-,30,64.645333,0.083034,64.482240,0.738480,64.770182,0.595476,0.999894,0.000122,99.761317,0.128140,0.000000,3.011267,0.187733,3.199000,0.544090,0.000000,1767.733333
KB6,Rule-based,-,30,64.506000,0.120476,69.541619,0.664535,60.381788,0.587635,0.994974,0.001277,99.546296,0.185920,0.407133,3.062900,0.188667,3.658700,0.615938,250.000000,1524.700000
KB6,TOPSIS,EWM,30,64.506000,0.120476,94.356761,0.630554,40.083654,0.835376,0.859816,0.005608,99.546296,0.185920,0.301767,3.490933,0.224900,4.017600,0.731595,250.000000,1524.700000
KB6,Hybrid,EWM,30,64.795333,0.013578,94.896976,0.520966,40.165606,0.823127,0.858901,0.005540,99.992798,0.020954,0.409500,3.254800,66.810167,70.474467,4.420087,250.000000,6260.233333
KB6,TOPSIS,AHP,30,64.506000,0.120476,93.934092,0.626166,40.431172,0.773828,0.863101,0.005055,99.546296,0.185920,0.354833,2.824733,0.210200,3.389767,0.495579,250.000000,1524.700000
KB6,Hybrid,AHP,30,64.796000,0.011017,94.651848,0.499049,40.368607,0.771426,0.860813,0.005025,99.993827,0.017002,0.437467,3.041600,67.219667,70.698733,4.317020,250.000000,6260.200000
