scenario,strategy,weight_method,seed,num_students,overload_ratio,violation_level,rejected_hard,waitlist,success_rate_pct,urgent_success_pct,normal_success_pct,fairness_index,capacity_util_pct,filter_ms,rank_ms,allocate_ms,total_ms
KB4_QuaTaiNang,FIFO,-,51,10000,4.000000,high,0,7660,23.400000,23.097463,23.453305,0.999942,100.000000,0.000000,6.698000,0.223000,6.921000
KB4_QuaTaiNang,Rule-based,-,51,10000,4.000000,high,2500,5160,23.400000,30.240320,22.194778,0.976998,100.000000,0.503000,5.040000,0.172000,5.715000
KB4_QuaTaiNang,TOPSIS,EWM,51,10000,4.000000,high,2500,5160,23.400000,74.566088,14.384851,0.685992,100.000000,0.502000,7.810000,0.311000,8.623000
KB4_QuaTaiNang,Hybrid,EWM,51,10000,4.000000,high,2500,12660,23.400000,74.566088,14.384851,0.685992,100.000000,0.848000,7.229000,46.788000,54.865000
KB4_QuaTaiNang,TOPSIS,AHP,51,10000,4.000000,high,2500,5160,23.400000,74.566088,14.384851,0.685992,100.000000,1.487000,3.798000,0.187000,5.472000
KB4_QuaTaiNang,Hybrid,AHP,51,10000,4.000000,high,2500,12660,23.400000,74.566088,14.384851,0.685992,100.000000,0.677000,6.536000,45.064000,52.277000
KB4_QuaTaiNang,FIFO,-,52,10000,4.000000,high,0,7660,23.400000,24.221922,23.257451,0.999588,100.000000,0.000000,6.172000,0.451000,6.623000
KB4_QuaTaiNang,Rule-based,-,52,10000,4.000000,high,2450,5210,23.400000,32.341001,21.849331,0.963870,100.000000,1.084000,6.897000,0.506000,8.487000
KB4_QuaTaiNang,TOPSIS,EWM,52,10000,4.000000,high,2450,5210,23.400000,76.184032,14.245482,0.680671,100.000000,0.981000,5.145000,0.330000,6.456000
KB4_QuaTaiNang,Hybrid,EWM,52,10000,4.000000,high,2450,12760,23.400000,76.184032,14.245482,0.680671,100.000000,0.706000,6.915000,47.495000,55.116000
KB4_QuaTaiNang,TOPSIS,AHP,52,10000,4.000000,high,2450,5210,23.400000,76.184032,14.245482,0.680671,100.000000,1.146000,3.668000,0.175000,4.989000
KB4_QuaTaiNang,Hybrid,AHP,52,10000,4.000000,high,2450,12760,23.400000,76.184032,14.245482,0.680671,100.000000,0.553000,4.182000,44.536000,49.271000
KB4_QuaTaiNang,FIFO,-,53,10000,4.000000,high,0,7660,23.400000,23.944637,23.308007,0.999819,100.000000,0.000000,6.797000,0.321000,7.118000
KB4_QuaTaiNang,Rule-based,-,53,10000,4.000000,high,2476,5184,23.400000,29.896194,22.302747,0.979277,100.000000,0.641000,5.080000,0.182000,5.903000
KB4_QuaTaiNang,TOPSIS,EWM,53,10000,4.000000,high,2476,5184,23.400000,74.463668,14.774985,0.690903,100.000000,0.516000,4.414000,0.344000,5.274000
KB4_QuaTaiNang,Hybrid,EWM,53,10000,4.000000,high,2476,12708,23.400000,74.602076,14.751607,0.690297,100.000000,0.972000,4.935000,49.112000,55.019000
KB4_QuaTaiNang,TOPSIS,AHP,53,10000,4.000000,high,2476,5184,23.400000,74.463668,14.774985,0.690903,100.000000,0.546000,3.746000,0.259000,4.551000
KB4_QuaTaiNang,Hybrid,AHP,53,10000,4.000000,high,2476,12708,23.400000,74.602076,14.751607,0.690297,100.000000,0.631000,6.022000,45.692000,52.345000
KB4_QuaTaiNang,FIFO,-,54,10000,4.000000,high,0,7660,23.400000,22.341137,23.586126,0.999266,100.000000,0.000000,6.126000,0.281000,6.407000
KB4_QuaTaiNang,Rule-based,-,54,10000,4.000000,high,2526,5134,23.400000,30.702341,22.116402,0.974256,100.000000,1.193000,5.202000,0.336000,6.731000
KB4_QuaTaiNang,TOPSIS,EWM,54,10000,4.000000,high,2526,5134,23.400000,76.789298,14.015285,0.676632,100.000000,0.936000,6.632000,0.339000,7.907000
KB4_QuaTaiNang,Hybrid,EWM,54,10000,4.000000,high,2526,12608,23.400000,76.989967,13.980012,0.675786,100.000000,0.522000,4.604000,45.469000,50.595000
KB4_QuaTaiNang,TOPSIS,AHP,54,10000,4.000000,high,2526,5134,23.400000,76.789298,14.015285,0.676632,100.000000,0.710000,3.562000,0.236000,4.508000
KB4_QuaTaiNang,Hybrid,AHP,54,10000,4.000000,high,2526,12608,23.400000,76.989967,13.980012,0.675786,100.000000,0.714000,4.167000,50.369000,55.250000
